従業員番号,苗字,名前,日付,勤怠区分,勤務パターン,開始時刻,終了時刻,休憩開始時刻1,休憩終了時刻1,休憩開始時刻2,休憩終了時刻2,休憩開始時刻3,休憩終了時刻3
19,笠原,若葉,2026/04/17,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/18,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/19,平日,◯日曜（掃除）,,,,,,,,
19,笠原,若葉,2026/04/20,平日,◯終日（掃除）,,,,,,,,
19,笠原,若葉,2026/04/21,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/22,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/23,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/24,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/25,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/26,平日,◯日曜（掃除）,,,,,,,,
19,笠原,若葉,2026/04/27,平日,◯終日（掃除）,,,,,,,,
19,笠原,若葉,2026/04/28,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/29,所定休日,,,,,,,,,
19,笠原,若葉,2026/04/30,平日,◯午前（掃除）,,,,,,,,
21,堀口,明子,2026/04/01,所定休日,,,,,,,,,
21,堀口,明子,2026/04/02,所定休日,,,,,,,,,
21,堀口,明子,2026/04/03,所定休日,,,,,,,,,
21,堀口,明子,2026/04/04,所定休日,,,,,,,,,
21,堀口,明子,2026/04/05,平日,◯日曜,,,,,,,,
21,堀口,明子,2026/04/06,所定休日,,,,,,,,,
21,堀口,明子,2026/04/07,所定休日,,,,,,,,,
21,堀口,明子,2026/04/08,所定休日,,,,,,,,,
21,堀口,明子,2026/04/09,所定休日,,,,,,,,,
21,堀口,明子,2026/04/10,所定休日,,,,,,,,,
21,堀口,明子,2026/04/11,所定休日,,,,,,,,,
21,堀口,明子,2026/04/12,所定休日,,,,,,,,,
21,堀口,明子,2026/04/13,所定休日,,,,,,,,,
21,堀口,明子,2026/04/14,所定休日,,,,,,,,,
21,堀口,明子,2026/04/15,所定休日,,,,,,,,,
21,堀口,明子,2026/04/16,所定休日,,,,,,,,,
21,堀口,明子,2026/04/17,平日,◯終日,,,,,,,,
21,堀口,明子,2026/04/18,所定休日,,,,,,,,,
21,堀口,明子,2026/04/19,所定休日,,,,,,,,,
21,堀口,明子,2026/04/20,所定休日,,,,,,,,,
21,堀口,明子,2026/04/21,所定休日,,,,,,,,,
21,堀口,明子,2026/04/22,所定休日,,,,,,,,,
21,堀口,明子,2026/04/23,所定休日,,,,,,,,,
21,堀口,明子,2026/04/24,所定休日,,,,,,,,,
21,堀口,明子,2026/04/25,所定休日,,,,,,,,,
21,堀口,明子,2026/04/26,所定休日,,,,,,,,,
21,堀口,明子,2026/04/27,所定休日,,,,,,,,,
21,堀口,明子,2026/04/28,所定休日,,,,,,,,,
21,堀口,明子,2026/04/29,平日,◯終日,,,,,,,,
21,堀口,明子,2026/04/30,所定休日,,,,,,,,,
23,山口,彩華,2026/04/01,所定休日,,,,,,,,,
23,山口,彩華,2026/04/02,所定休日,,,,,,,,,
23,山口,彩華,2026/04/03,所定休日,,,,,,,,,
23,山口,彩華,2026/04/04,所定休日,,,,,,,,,
23,山口,彩華,2026/04/05,所定休日,,,,,,,,,
23,山口,彩華,2026/04/06,所定休日,,,,,,,,,
23,山口,彩華,2026/04/07,所定休日,,,,,,,,,
23,山口,彩華,2026/04/08,所定休日,,,,,,,,,
23,山口,彩華,2026/04/09,所定休日,,,,,,,,,
23,山口,彩華,2026/04/10,所定休日,,,,,,,,,
23,山口,彩華,2026/04/11,所定休日,,,,,,,,,
23,山口,彩華,2026/04/12,所定休日,,,,,,,,,
23,山口,彩華,2026/04/13,所定休日,,,,,,,,,
23,山口,彩華,2026/04/14,所定休日,,,,,,,,,
23,山口,彩華,2026/04/15,平日,◯午前,,,,,,,,
23,山口,彩華,2026/04/16,所定休日,,,,,,,,,
23,山口,彩華,2026/04/17,所定休日,,,,,,,,,
23,山口,彩華,2026/04/18,所定休日,,,,,,,,,
23,山口,彩華,2026/04/19,平日,◯午前,,,,,,,,
23,山口,彩華,2026/04/20,所定休日,,,,,,,,,
23,山口,彩華,2026/04/21,所定休日,,,,,,,,,
23,山口,彩華,2026/04/22,所定休日,,,,,,,,,
23,山口,彩華,2026/04/23,所定休日,,,,,,,,,
23,山口,彩華,2026/04/24,所定休日,,,,,,,,,
23,山口,彩華,2026/04/25,所定休日,,,,,,,,,
23,山口,彩華,2026/04/26,所定休日,,,,,,,,,
23,山口,彩華,2026/04/27,所定休日,,,,,,,,,
23,山口,彩華,2026/04/28,所定休日,,,,,,,,,
23,山口,彩華,2026/04/29,所定休日,,,,,,,,,
23,山口,彩華,2026/04/30,所定休日,,,,,,,,,
50,中村,則子,2026/04/01,所定休日,,,,,,,,,
50,中村,則子,2026/04/02,所定休日,,,,,,,,,
50,中村,則子,2026/04/03,所定休日,,,,,,,,,
50,中村,則子,2026/04/04,所定休日,,,,,,,,,
50,中村,則子,2026/04/05,所定休日,,,,,,,,,
50,中村,則子,2026/04/06,所定休日,,,,,,,,,
50,中村,則子,2026/04/07,平日,◯終日,,,,,,,,
50,中村,則子,2026/04/08,所定休日,,,,,,,,,
50,中村,則子,2026/04/09,所定休日,,,,,,,,,
50,中村,則子,2026/04/10,所定休日,,,,,,,,,
50,中村,則子,2026/04/11,所定休日,,,,,,,,,
50,中村,則子,2026/04/12,平日,◯日曜,,,,,,,,
50,中村,則子,2026/04/13,所定休日,,,,,,,,,
50,中村,則子,2026/04/14,所定休日,,,,,,,,,
50,中村,則子,2026/04/15,所定休日,,,,,,,,,
50,中村,則子,2026/04/16,所定休日,,,,,,,,,
50,中村,則子,2026/04/17,所定休日,,,,,,,,,
50,中村,則子,2026/04/18,所定休日,,,,,,,,,
50,中村,則子,2026/04/19,所定休日,,,,,,,,,
50,中村,則子,2026/04/20,所定休日,,,,,,,,,
50,中村,則子,2026/04/21,所定休日,,,,,,,,,
50,中村,則子,2026/04/22,所定休日,,,,,,,,,
50,中村,則子,2026/04/23,所定休日,,,,,,,,,
50,中村,則子,2026/04/24,所定休日,,,,,,,,,
50,中村,則子,2026/04/25,所定休日,,,,,,,,,
50,中村,則子,2026/04/26,所定休日,,,,,,,,,
50,中村,則子,2026/04/27,所定休日,,,,,,,,,
50,中村,則子,2026/04/28,所定休日,,,,,,,,,
50,中村,則子,2026/04/29,所定休日,,,,,,,,,
50,中村,則子,2026/04/30,所定休日,,,,,,,,,
499,派,遣,2026/04/01,所定休日,,,,,,,,,
499,派,遣,2026/04/02,所定休日,,,,,,,,,
499,派,遣,2026/04/03,所定休日,,,,,,,,,
499,派,遣,2026/04/04,所定休日,,,,,,,,,
499,派,遣,2026/04/05,所定休日,,,,,,,,,
499,派,遣,2026/04/06,所定休日,,,,,,,,,
499,派,遣,2026/04/07,所定休日,,,,,,,,,
499,派,遣,2026/04/08,所定休日,,,,,,,,,
499,派,遣,2026/04/09,所定休日,,,,,,,,,
499,派,遣,2026/04/10,所定休日,,,,,,,,,
499,派,遣,2026/04/11,所定休日,,,,,,,,,
